"","Pair","ph","tempC","ratio","logratio"
"1","C:N",4.5,5,9.3881575676955,2.23944906179504
"2","C:N",4.5,15,10.3924102664544,2.34107575765507
"3","C:N",4.5,25,11.9753463154621,2.48285006275039
"4","C:N",5.5,5,18.0381033533103,2.89248637348153
"5","C:N",5.5,15,17.7184633959609,2.87460722561334
"6","C:N",5.5,25,17.4294485356944,2.85816122023017
"7","C:N",6.5,5,30.6746012042692,3.42343498983665
"8","C:N",6.5,15,27.8710665670273,3.32758911012031
"9","C:N",6.5,25,25.5690242121177,3.24138162714035
"10","C:N",7.5,5,60.759098153911,4.10691683485756
"11","C:N",7.5,15,42.4958264455942,3.74940586982817
"12","C:N",7.5,25,31.2067397757211,3.44063408993941
"13","C:P",4.5,5,9.70347417516773,2.27248398377293
"14","C:P",4.5,15,19.8674726032345,2.98908385185727
"15","C:P",4.5,25,38.7687288907869,3.65761396524872
"16","C:P",5.5,5,109.067930180721,4.69197090077994
"17","C:P",5.5,15,162.889384955281,5.0930713505338
"18","C:P",5.5,25,236.811827808718,5.46726585027901
"19","C:P",6.5,5,369.369264172888,5.91179685957384
"20","C:P",6.5,15,543.34044533754,6.29773609462533
"21","C:P",6.5,25,778.825019691245,6.6577863989338
"22","C:P",7.5,5,881.754605060122,6.78191379173946
"23","C:P",7.5,15,863.376852079586,6.76085127256924
"24","C:P",7.5,25,846.577401179207,6.74120163410806
"25","N:P",4.5,5,6.99018209530536,1.94450660673693
"26","N:P",4.5,15,8.30437524943359,2.11678251439984
"27","N:P",4.5,25,9.75228969108818,2.27750209755074
"28","N:P",5.5,5,10.865392230172,2.38558271339475
"29","N:P",5.5,15,16.7608168409607,2.81904383139379
"30","N:P",5.5,25,25.1140697053795,3.22342823512155
"31","N:P",6.5,5,16.2900004655139,2.79055145119062
"32","N:P",6.5,15,27.3432955148529,3.30847136224866
"33","N:P",6.5,25,44.3294408550063,3.79164903543596
"34","N:P",7.5,5,16.7128445313419,2.81617755740432
"35","N:P",7.5,15,25.0284437580088,3.22001292844117
"36","N:P",7.5,25,36.4798075628398,3.59675889005076
